Percentage of Electorate Candidate Votes of Successful Registered Parties
,ACT New Zealand,,Green Party,,Labour Party,,Māori Party,,National Party,,Other,,
Northland,1279,2.86,1749,3.91,17066,38.11,0,0.00,16903,37.74,7787,17.39,44784
Ōhāriu,809,1.88,2221,5.16,22937,53.28,0,0.00,10976,25.50,6107,14.19,43050
Ōtaki,918,2.04,2135,4.76,21867,48.71,0,0.00,18879,42.06,1092,2.43,44891
Pakuranga,943,2.59,1632,4.48,11525,31.66,0,0.00,21575,59.27,728,2.00,36403
Palmerston North,1192,3.15,2049,5.42,22516,59.56,0,0.00,10008,26.47,2038,5.39,37803
Panmure-Ōtāhuhu,0,0.00,1366,4.61,22818,76.99,0,0.00,4192,14.14,1263,4.26,29639
Papakura,1464,3.77,1953,5.03,13837,35.61,0,0.00,19420,49.98,2182,5.62,38856
Port Waikato,1340,3.38,1342,3.38,11322,28.53,0,0.00,15635,39.40,10042,25.31,39681
Rangitata,1394,3.32,852,2.03,21147,50.33,0,0.00,16739,39.84,1881,4.48,42013
Rangitīkei,1860,4.55,1992,4.87,15631,38.24,0,0.00,18592,45.48,2802,6.85,40877
Remutaka,952,2.23,1610,3.78,29217,68.57,0,0.00,8720,20.46,2112,4.96,42611
Rongotai,965,2.16,6719,15.06,25926,58.11,0,0.00,6447,14.45,4562,10.22,44619
Rotorua,1053,2.81,1887,5.04,15387,41.09,0,0.00,16212,43.29,2911,7.77,37450
Selwyn,1890,4.46,1749,4.13,16018,37.82,0,0.00,20986,49.55,1708,4.03,42351
Southland,0,0.00,2127,5.49,14330,36.98,0,0.00,19975,51.54,2321,5.99,38753
Taieri,1291,2.92,2207,5.00,25263,57.19,0,0.00,12865,29.12,2550,5.77,44176
Takanini,1307,3.75,0,0.00,19431,55.74,0,0.00,11707,33.58,2417,6.93,34862
Tāmaki,2151,5.28,3260,8.01,13403,32.92,0,0.00,21471,52.74,426,1.05,40711
Taranaki-King Country,2376,5.99,0,0.00,15568,39.25,0,0.00,18702,47.15,3021,7.62,39667
Taupō,1848,4.28,2018,4.68,15983,37.04,0,0.00,21102,48.90,2199,5.10,43150
Tauranga,1739,4.04,1901,4.41,16865,39.16,0,0.00,18721,43.47,3844,8.93,43070
Te Atatū,1610,4.36,2088,5.66,21253,57.57,0,0.00,10745,29.11,1220,3.30,36916
Tukituki,1051,2.54,1808,4.38,19132,46.32,0,0.00,17542,42.47,1767,4.28,41300
Upper Harbour,1712,4.36,2488,6.34,17573,44.80,0,0.00,15181,38.71,2268,5.78,39222
Waikato,2084,5.19,0,0.00,15661,38.98,0,0.00,20877,51.97,1551,3.86,40173
Waimakariri,1355,2.96,0,0.00,19909,43.44,0,0.00,21416,46.73,3150,6.87,45830
Wairarapa,1076,2.42,1359,3.06,22042,49.65,0,0.00,15497,34.91,4417,9.95,44391
Waitaki,1808,4.15,2482,5.70,16378,37.62,0,0.00,19659,45.16,3209,7.37,43536
Wellington Central,865,1.82,8381,17.68,27366,57.73,0,0.00,8488,17.91,2301,4.85,47401
West Coast-Tasman,1454,3.40,2341,5.47,20753,48.46,0,0.00,14545,33.96,3734,8.72,42827
Whanganui,0,0.00,1491,3.73,22299,55.73,0,0.00,14108,35.26,2112,5.28,40010
Whangaparāoa,1757,3.93,0,0.00,15999,35.77,0,0.00,23822,53.26,3150,7.04,44728
Whangārei,2153,4.93,1635,3.74,17823,40.81,0,0.00,17392,39.82,4670,10.69,43673
Wigram,1072,2.81,2022,5.30,24186,63.45,0,0.00,9416,24.70,1422,3.73,38118
General Electorate Totals,97697,3.69,151835,5.74,1264796,47.81,0,0.00,963845,36.44,167033,6.31,2645206
Hauraki-Waikato,0,0.00,0,0.00,15885,68.01,6225,26.65,0,0.00,1246,5.33,23356
Ikaroa-Rāwhiti,0,0.00,2080,8.47,13642,55.57,7597,30.94,0,0.00,1232,5.02,24551
Tāmaki Makaurau,0,0.00,5006,20.01,10256,40.99,9329,37.29,0,0.00,427,1.71,25018
Te Tai Hauāuru,0,0.00,0,0.00,12160,48.73,11107,44.51,0,0.00,1685,6.75,24952
Te Tai Tokerau,0,0.00,0,0.00,14932,56.77,6768,25.73,0,0.00,4603,17.50,26303
Te Tai Tonga,0,0.00,3324,11.73,14277,50.40,7422,26.20,0,0.00,3303,11.66,28326
Waiariki,0,0.00,0,0.00,11553,43.62,12389,46.78,0,0.00,2544,9.61,26486
Māori Electorate Totals,0,0.00,10410,5.82,92705,51.79,60837,33.99,0,0.00,15040,8.40,178992
Combined Totals,97697,3.46,162245,5.74,1357501,48.07,60837,2.15,963845,34.13,182073,6.45,2824198
