group,x1,x2,x3
A,1.536,6.66,9.452
A,10.736,2.453,-5.151
A,0.508,2.616,7.173
A,-5.646,3.201,5.91
A,3.486,8.249,-0.131
A,-3.55,3.468,2.454
A,10.42,7.954,4.282
A,1.242,10.865,8.105
A,-0.286,8.238,5.33
A,1.848,-7.485,6.997
A,-0.199,5.768,4.148
A,-0.435,5.1,-1.338
A,8.284,12.834,4.043
A,6.125,8.546,2.539
A,-4.822,1.462,9.332
A,0.088,3.527,6.265
A,2.949,6.741,0.725
A,4.641,2.997,10.575
A,4.43,6.65,10.145
A,0.997,6.908,3.68
A,8.779,2.262,-0.399
A,0.13,8.741,4.194
A,0.167,-4.483,5.097
A,-3.726,3.161,2.144
A,6.979,2.73,4.875
A,0.456,8.681,8.099
A,-1.023,9.794,5.649
A,1.742,7.847,5.616
A,6.307,4.615,-11.41
A,-0.094,6.113,3.568
A,4.827,2.199,2.083
A,4.861,10.17,1.769
A,-5.17,2.604,9.264
A,-1.285,4.473,5.824
A,-3.328,7.553,-5.256
A,5.179,5.533,4.666
A,-0.736,-2.549,0.185
A,6.142,3.721,1.549
A,-2.713,8.565,5.97
A,-0.199,5.503,2.558
A,1.29,1.896,-3.872
A,-4.612,1.623,1.776
A,0,4.807,2.833
A,-1.23,1.739,3.979
A,-5.213,8.087,5.636
A,0.822,-2.107,3.261
A,0.006,5.254,6.456
A,1.895,5.817,10.416
A,-0.489,-1.964,7.273
A,3.215,5.191,8.17
A,3.747,3.8,1.7
A,1.17,9.055,3.377
A,4.027,16.634,2.279
A,-4.435,5.898,1.187
A,5.446,-0.12,2.597
A,2.214,5.399,3.807
A,3.316,10.785,1.302
A,5.546,1.748,6.974
A,3.316,2.616,7.734
A,4.153,3.452,0.651
A,-5.6,0.011,7.4
A,-2.993,-5.096,7.659
A,3.28,8.774,2.508
A,-1.542,3.063,2.435
A,3.392,7.771,8.007
A,-0.413,3.707,3.943
A,-0.506,8.08,2.531
A,2.558,12.306,6.791
A,11.362,5.615,-1.429
A,3.559,5.948,6.125
A,3.535,6.256,-1.316
A,5.606,9.592,7.623
A,1.365,2.836,5.264
A,0.705,10.255,4.673
A,3.661,4.525,-1.464
A,-2.242,1.125,9.088
A,1.197,5.101,6.432
A,4.271,7.071,7.445
A,4.163,8.576,3.359
A,1.677,8.627,8.958
A,3.947,2.144,4.726
A,-0.139,2.915,8.24
A,5.713,5.991,0.727
A,3.751,8.495,1.91
A,-3.191,7.779,-0.909
A,3.234,-6.034,6.935
A,6.093,1.727,5.912
A,5.702,9.608,11.025
A,-1.092,9.782,7.027
A,7.673,0.142,0.639
A,5.599,4.537,10.856
A,0.198,6.998,4.618
A,1.885,7.368,6.061
A,2.521,5.689,2.111
A,-1.036,5.743,7.815
A,2.418,2.965,2.95
A,1.461,5.305,6.987
A,5.92,2.782,3.247
A,5.765,5.826,4.554
A,4.131,5.54,2.323
A,1.784,5.075,8.032
A,-0.782,8.238,6.877
A,3.667,5.693,2.891
A,0.467,2.752,1.049
A,8.865,8.204,-0.242
A,3.268,1.843,-3.791
A,-0.018,5.332,6.636
A,-8.347,6.448,4.571
A,-4.328,2.192,2.462
A,-3.42,3.21,1.002
A,0.932,3.099,3.271
B,1.922,7.071,5.113
B,-7.436,-4.534,-5.44
B,-0.562,1.531,4.235
B,4.834,7.424,6.994
B,1.709,6.4,5.054
B,-2.081,0.549,-1.632
B,-3.007,-2.967,0.821
B,0.168,3.638,1.756
B,4.794,9.385,8.311
B,2.003,2.788,1.307
B,-3.868,0.376,0.939
B,2.411,7.881,4.619
B,4.456,9.508,7.195
B,-3.163,3.428,-0.969
B,3.546,10.439,6.644
B,6.486,10.641,8.726
B,3.214,5.961,3.651
B,4.733,8.262,6.853
B,3.759,7.381,8.994
B,3.098,6.219,6.917
B,-4.058,3.255,1.964
B,2.48,6.924,3.249
B,2.409,4.817,6.598
B,3.096,7.209,5.914
B,-3.675,0.978,-0.643
B,5.828,8.911,10.04
B,-0.865,2.039,1.224
B,-2.007,2.522,0.805
B,-3.946,-2.172,-2.776
B,2.858,5.366,3.288
B,5.234,9.745,8.321
B,2.374,6.279,2.878
B,-0.087,4.125,4.176
B,5.863,7.077,8.653
B,5.787,7.362,6.089
B,-0.245,2.693,0.156
B,1.951,7.468,6.03
B,8.921,9.595,7.893
B,0.35,1.554,2.443
B,2.911,7.928,9.253
B,-0.686,1.673,0.598
B,4.27,6.83,5.326
B,9.557,12.805,9.765
B,4.07,8.071,6.81
B,6.256,10.618,9.754
B,2.982,6.728,4.005
B,5.06,10.945,8.932
B,1.038,5.333,3.206
B,-0.396,4.215,2.624
B,-0.282,4.518,3.095
B,-5.283,-1.659,-3.303
B,3.459,5.885,5.607
B,0.205,3.131,3.934
B,1.343,6.315,5.18
B,5.829,6.09,7.098
B,6.051,8.394,7.734
B,4.82,8.927,7.007
B,1.115,4.591,3.316
B,-0.75,4.798,3.401
B,4.877,8.848,6.094
B,3.559,7.693,5.536
B,-0.476,3.198,2.191
B,4.51,7.325,6.226
B,-2.055,0.485,-0.502
B,5.164,9.713,9.626
B,2.346,6.667,5.706
B,-3.777,3.755,1.268
B,0.001,2.299,1.687
B,-1.058,4.446,-0.729
B,9.636,10.989,10.992
B,0.79,4.556,3.541
B,0.701,3.39,3.032
B,1.171,5.812,1.892
B,5.81,10.326,7.525
B,0.837,4.707,2.213
B,6.205,9.221,6.18
B,1.63,5.613,3.658
B,-1.888,0.296,0.812
B,3.432,4.428,6.636
B,-0.103,2.447,3.024
B,-0.772,3.323,0.962
B,1.629,4.102,2.86
B,-7.512,-3.645,-5.319
B,0.13,4.303,2.041
B,5.801,6.675,8.087
B,6.208,11.38,11.205
B,-1.605,-0.188,2.056
B,0.999,5.69,4.799
B,-2.663,0.963,-0.171
B,6.243,10.391,10.375
B,3.621,7.046,5.947
B,-2.366,3.873,1.242
B,6.166,7.892,6.104
B,-1.473,3.514,2.914
B,7.784,14.84,12.063
B,6.354,8.978,8.712
B,-3.295,-0.618,-0.219
B,0.827,5.383,2.146
B,-0.91,3.272,1.989
B,-4.882,-0.136,-1.036
B,1.488,3.842,2.926
B,2.175,6.184,4.595
B,-8.247,-4.166,-5.175
B,-1.174,2.754,1.695
B,0.191,4.771,2.785
B,4.69,9.196,7.702
B,-4.001,0.867,0.172
B,-0.364,5.917,4.481
B,3.839,7.615,5.351
B,0.486,4.583,2.979
B,4.514,8.838,4.736
B,2.321,6.658,6.748
B,1.435,5.772,2.986
B,-0.711,3.376,1.303
B,4.409,5.843,5.289
B,3.567,6.634,5.536
B,3.02,6.661,6.765
B,2.494,6.199,6.466
B,-3.828,-1.2,-1.635
B,-0.333,3.2,3.085
B,6.626,8.736,7.186
B,-0.092,3.771,4.002
B,4.407,9.472,7.94
B,-3.21,0.784,-0.8
B,-1.846,0.89,0.16
B,-1.268,0.736,0.044
B,-0.889,0.24,2.847
B,7.393,12.816,9.769
B,4.168,8.099,9.046
B,2.867,3.648,2.184
B,4.588,9.11,7.9
B,2.926,4.865,5.318
B,-4.863,-0.523,0.119
B,-8.878,-4.181,-5.106
B,4.86,7.013,5.474
B,0.77,1.927,2.826
B,6.172,8.882,7.512
B,-0.024,3.012,0.517
B,5.754,9.537,9.088
B,0.638,5.16,4.06
B,3.74,8.378,5.962
B,3.904,7.786,6.815
B,-3.987,1.107,-1.218
B,-0.453,3.339,3.052
B,-2.072,0.762,0.248
B,1.705,7.819,5.743
B,5.332,12.469,10.329
B,-1.729,3.745,1.875
B,1.211,5.756,3.53
B,0.611,7.766,3.924
B,1.907,5.803,4.466
B,5.683,9.285,9.23
B,-2.844,0.895,1.531
B,3.339,6.231,5.365
B,0.056,5.01,1.623
B,-2.462,3.158,0.273
B,-2.283,-0.165,0.326
B,-6.754,-2.481,-3.102
B,0.243,4.403,3.119
B,7.185,9.665,8.425
B,5.753,7.75,8.274
B,-6.833,-2.068,-4.211
B,-3.648,0.864,-0.169
B,8.509,11.711,11.571
B,6.34,11.079,10.378
B,0.008,1.264,0.849
B,-3.777,1.127,-0.007
B,-2.642,2.433,0.355
B,-2.196,1.48,1.768
B,3.079,5.578,4.203
B,0.86,4.367,2.473
B,5.431,7.898,7.965
B,1.004,3.625,4.135
B,0.396,5.729,4.078
B,-6.655,-1.798,-4.846
B,5.043,9.113,7.415
B,-4.316,2.623,-0.183
B,-2.469,0.556,0.172
B,-1.308,1.439,0.724
B,9.023,11.78,10.19
B,2.394,8.18,6.522
B,-5.858,-0.561,-2.509
B,-3.198,-2.109,-3.294
B,6.611,8.932,8.633
B,1.099,5.793,5.208
B,8.135,11.191,9.934
B,2.786,6.248,6.041
B,-1.909,-0.106,0.596
B,-1.153,1.54,2.511
B,-3.51,-1.103,-1.947
B,-6.373,-2.772,-2.443
B,1.437,5.058,4.289
B,-10.586,-8.823,-10.028
B,2.449,4.862,2.582
B,5.176,6.752,6.476
B,6.223,9.037,7.272
B,12.317,15.119,14.372
B,-0.831,0.35,0.7
B,0.442,5.109,3.4
B,1.286,6.985,5.762
C,1.925,5.508,4.594
C,1.049,4.472,3.409
C,7.028,10.463,9.495
C,-1.871,1.655,0.675
C,4.726,8.188,7.296
C,6.101,9.348,8.323
C,-3.098,0.488,-0.603
C,6.49,10.044,8.901
C,2.945,6.33,5.629
C,-0.866,2.416,1.707
C,-0.57,2.912,2.034
C,5.577,9.098,8.064
C,2.658,6.384,5.256
C,0.954,4.542,3.628
C,-4.555,-1.17,-2.123
C,2.863,6.051,5.08
C,-2.835,0.61,-0.133
C,3.437,6.937,5.988
C,-0.664,2.89,1.484
C,-2.708,1.044,0.125
C,-2.004,1.412,0.414
C,-1.82,1.542,0.658
C,-2.142,1.034,0.052
C,2.143,5.611,4.695
C,1.304,4.901,3.9
C,2.049,5.657,4.528
C,-0.733,2.732,1.985
C,6.624,10.31,9.164
C,-7.955,-4.429,-5.558
C,1.16,4.614,3.459
C,1.012,4.61,3.547
C,2.566,6.076,5.252
C,2.487,6.015,4.935
C,1.862,5.344,4.423
C,-2.861,0.631,-0.446
C,-0.065,3.427,2.391
C,-8.795,-5.376,-6.3
C,0.07,3.539,2.744
C,0.333,3.768,2.655
C,5.802,9.4,8.479
C,-1.174,2.502,1.328
C,1.144,4.296,3.496
C,3.409,6.937,5.736
C,2.276,6.024,4.897
C,2.034,5.987,4.674
C,6.936,10.34,9.236
C,0.643,3.979,3.03
C,0.018,3.516,2.54
C,1.808,5.346,4.129
C,7.897,11.336,10.473
C,-2.229,1.428,0.114
C,1.76,5.071,4.301
C,-1.57,1.774,0.891
C,1.278,4.939,3.589
C,-0.381,3.148,2.3
C,1.295,4.678,3.793
C,1.639,5.354,4.233
C,-2.239,1.301,0.078
C,5.694,8.987,8.148
C,2.855,6.385,5.285
C,0.663,4.205,3.431
C,4.373,7.86,6.83
C,0.263,3.81,2.868
C,-4.319,-0.807,-1.837
C,-1.455,1.698,0.799
C,5.908,9.497,8.387
C,2.525,6.33,5.285
C,-8.087,-4.464,-5.543
C,0.116,3.651,2.755
C,3.064,6.44,5.54
C,0.821,4.061,3.098
C,1.332,4.829,3.863
C,2.106,5.559,4.64
C,4.243,7.498,6.679
C,-0.205,3.436,2.282
C,3.025,6.56,5.584
C,5.324,8.57,7.845
C,0.079,3.698,2.608
C,-0.565,2.973,2.127
C,6.659,9.829,8.958
C,5.02,8.417,7.463
C,-3.88,-0.158,-1.467
C,0.918,4.293,3.29
C,4.891,8.367,7.356
C,1.292,4.66,3.697
C,4.248,7.741,6.543
C,4.879,8.214,7.207
C,2.09,5.357,4.556
C,-3.891,-0.495,-1.693
C,0.009,3.509,2.352
C,-1.149,2.441,1.405
C,-1.438,2.111,1.036
C,3.173,6.596,5.539
C,2.038,5.484,4.34
C,0.123,3.724,2.677
C,2.411,5.874,4.882
C,-4.797,-1.318,-2.417
C,5.177,8.867,7.8
C,-2.216,1.302,0.178
C,-9.651,-5.98,-7.214
C,3.426,7.011,6.045
C,-2.07,1.284,0.466
C,0.756,4.31,3.341
C,-4.332,-0.904,-1.748
C,1.815,5.459,4.392
C,-3.582,-0.053,-0.952
C,-0.394,3.104,2.066
C,1.725,5.243,4.262
C,8.82,12.296,11.146
C,5.453,8.673,7.773
C,4.397,7.659,6.937
C,8.371,11.778,10.93
C,-0.662,3.001,2.079
C,-8.132,-4.633,-5.614
C,6.957,10.377,9.466
C,0.855,4.334,3.278
C,-3.45,0.139,-0.884
C,5.786,9.202,8.234
C,-1.393,1.991,1.145
C,-0.971,2.482,1.389
C,0.72,4.176,3.2
C,-3.635,-0.036,-0.788
C,5.357,8.918,7.911
C,1.09,4.29,3.538
C,-2.911,0.959,-0.252
C,0.846,4.062,3.366
C,7.385,11.012,9.869
C,7.557,11.138,10.313
C,-0.028,3.432,2.359
C,-4.99,-1.47,-2.435
C,3.222,6.548,5.686
C,1.442,4.786,3.736
C,6.723,10.371,9.21
C,1.233,4.712,3.954
C,2.251,6.077,4.999
C,0.258,3.679,2.802
C,2.649,6.295,5.244
C,3.57,7.482,6.387
C,10.129,13.619,12.506
C,0.019,3.507,2.484
C,9.207,13.021,12.006
C,-1.988,1.454,0.612
C,-6.118,-2.793,-3.613
C,-7.305,-3.952,-4.751
C,8.456,12.014,11.011
C,7.941,11.422,10.553
C,1.331,4.827,3.842
C,5.736,9.138,8.191
C,5.412,8.883,7.833
C,-2.48,1.29,0.232
C,-3.815,-0.264,-1.294
C,-1.977,1.635,0.659
C,3.808,7.352,6.291
C,1.205,4.435,3.615
C,-2.027,1.247,0.142
C,6.178,9.635,8.63
C,1.348,5.083,3.92
C,0.861,4.161,3.272
C,0.584,3.99,2.898
C,0.971,4.489,3.636
C,-1.081,2.63,1.51
C,-0.374,3.163,2.297
C,-2.976,0.4,-0.763
C,-0.748,2.627,1.558
C,2.534,6.054,4.94
C,-0.43,3.009,2.106
C,5.898,9.275,8.349
C,2.974,6.291,5.304
C,1.64,5,4.189
C,-0.384,3.131,2.172
C,3.728,7.202,6.25
C,0.096,3.548,2.598
C,-3.697,-0.32,-1.336
C,-5.498,-1.994,-2.864
C,2.184,5.728,4.742
C,4.831,8.09,7.321
C,2.053,5.599,4.465
C,2.129,5.686,4.76
C,2.479,5.857,4.89
C,-3.177,0.644,-0.439
C,5.675,9.326,8.293
C,-4.144,-0.409,-1.612
C,6.276,9.344,8.526
C,-1.314,2.047,1.07
C,2.385,5.956,4.865
C,1.818,5.506,4.439
C,0.259,3.762,2.578
C,-0.938,2.439,1.598
C,2.167,5.701,4.562
C,-2.167,1.263,0.485
C,-4.321,-0.719,-1.808
C,-3.484,0.106,-0.805
C,-6.674,-3.201,-4.201
C,3.634,7.134,6.115
C,1.224,4.49,3.636
C,3.364,6.608,5.772
C,1.203,4.747,3.726
C,-0.31,3.407,2.411
C,-0.11,3.512,2.48
C,4.085,7.791,6.782
