group,x1,x2,x3
B,4.1,5.427,3.498
B,4.629,3.738,4.401
B,2.428,3.399,3.023
B,2.733,2.905,2.315
B,5.734,6.059,4.617
B,2.937,3.451,4.242
B,4.112,5.239,4.24
B,5.572,4.872,4.851
B,0.831,1.478,0.078
B,4.141,3.672,6.23
B,1.813,1.298,2.677
B,5.001,4.903,3.664
B,4.458,4.518,5.896
B,3.405,3.59,3.749
B,2.504,4.744,3.1
B,1.485,2.693,3.673
B,-0.936,-0.638,-0.28
B,3.634,5.421,4.85
B,4.436,3.567,3.906
B,1.316,0.961,3.627
B,2.344,2.58,4.358
B,1.657,1.263,3.421
B,5.785,5.073,3.639
B,3.802,2.369,2.641
B,2.46,2.194,2.672
B,1.798,3.685,3.375
B,3.396,1.556,3.503
B,3.437,4.441,0.273
B,0.636,1.435,-0.135
B,1.372,3.856,2.248
B,4.157,7.646,6.196
B,1.576,1.88,0.951
B,4.266,4.613,5.057
B,1.98,4.054,5.29
B,4.784,3.881,4.767
B,6.373,4.314,4.396
B,3.304,2.759,2.251
B,4.005,5.326,3.227
B,4.023,3.485,4.713
B,1.355,0.873,-0.609
B,1.145,0.96,2.38
B,3.605,2.061,3.134
B,1.498,2.338,1.252
B,6.439,4.399,4.065
B,4.027,4.108,3.358
B,3.014,3.702,4.251
B,2.413,2.352,1.599
B,3.204,4.252,2.808
B,5.326,3.641,4.275
B,0.652,0.21,0.312
B,5.202,6.247,1.909
B,1.894,2.74,2.725
C,0.128,1.929,2.725
C,-2.476,-1.942,-0.823
C,0.311,0.606,2.235
C,-1.27,1.11,1.665
C,0.207,3.184,2.896
C,-0.422,2.584,4.979
C,-2.52,-2.824,0.449
C,-1.795,1.648,0.884
C,-2.035,-0.852,1.439
C,0.034,1.801,1.323
C,0.718,2.911,4.964
C,1.75,1.549,2.958
C,0.974,2.522,2.683
C,2.376,0.624,4.004
C,-1.942,1.958,2.617
C,-0.465,1.89,1.647
C,0.842,2.757,4.585
C,1.138,1.586,4.47
C,-0.157,0.232,4.318
C,-0.603,1.335,2.232
C,0.972,3.095,2.675
C,-1.695,-2.18,-0.102
C,-0.705,-1.43,-0.217
C,1.319,1.097,1.754
C,-1.058,-1.529,1.12
C,-1.757,0.736,0.63
C,0.423,5.038,3.268
C,-0.45,0.319,2.567
C,-0.051,3.814,2.676
C,-0.019,3.379,1.29
C,0.659,2.166,4.912
C,-0.662,-2.101,0.275
C,-0.588,0.453,-0.423
C,-0.218,-0.024,1.602
C,1.919,1.833,4.781
C,-0.134,3.163,4.413
C,-0.925,1.958,0.032
C,1.779,-0.492,2.379
C,0.588,1.827,2.231
C,1.142,2.581,2.215
C,2.266,3.336,2.366
C,-0.324,1.346,2.146
C,-1.369,1.106,1.674
C,-0.037,-0.119,1.202
C,0.242,1.566,0.791
C,-0.012,-0.41,-0.165
C,-2.261,-1.574,0.628
C,1.516,1.943,4.492
C,0.188,1.912,2.05
C,2.089,3.403,3.497
C,-1.059,-0.112,1.205
C,1.496,2.061,3.743
C,-2.184,-0.296,1.002
C,0.496,3.445,3.614
C,0.541,3.076,5.182
C,0.874,0.006,2.45
C,-1.068,1.222,2.594
C,0.808,0.322,1.274
C,-1.022,-2.289,0.182
C,-0.804,-0.477,3.13
C,-2.344,0.653,0.887
C,1.067,0.289,2.46
C,-0.268,1.345,2.776
C,1.095,2.959,5.091
C,0.942,1.546,2.752
C,-0.593,1.343,3.193
C,-2.2,-3.254,-1.252
C,0.142,-0.247,2.623
C,-0.907,0.922,3.415
C,-3.416,-0.545,0.585
C,-0.498,2.692,2.401
C,0.551,4.056,4.391
C,-0.347,1.274,0.15
C,-0.103,1.404,1.98
C,-2.47,-1.329,1.724
C,2.069,2.841,5.27
C,1.355,2.022,4.241
C,1.111,1.001,3.816
C,-1.943,-2.168,-0.412
C,-1.583,0.71,3.423
C,-1.955,1.168,3.824
C,0.256,0.606,3.617
C,0.62,-0.087,2.063
C,-0.55,0.153,1.591
C,0.022,0.347,1.479
C,1.929,2.654,3.286
C,1.867,2.471,2.787
C,-2.667,0.005,-0.678
C,-3.336,0.815,2.07
C,-0.045,1.244,0.955
C,0.437,0.742,1.166
C,-3.656,-2.233,-1.309
C,3.282,3.709,3.477
C,0.292,2.591,4.305
C,2.088,1.297,1.245
C,0.678,3.143,3.236
C,1.043,1.299,1.849
C,0.253,1.898,2.752
C,-0.951,1.006,0.453
C,-0.338,0.405,0.164
C,-2.467,0.202,0.751
C,-1.949,-0.388,0.721
C,-1.073,0.609,0.227
C,1.463,1.244,1.646
C,1.434,0.718,2.694
C,-1.508,0.804,0.771
C,3.112,4.609,5.464
C,0.267,2.899,2.516
C,0.874,4.463,5.296
C,0.987,5.353,2.111
C,2.463,3.48,4.501
C,0.747,1.421,3.4
C,-2.55,-1.847,0.538
C,-1.441,-0.631,-0.646
C,2.216,2.365,5.452
C,-1.713,0.172,0.852
C,-2.643,-2.17,-1.45
C,2.44,1.677,2.895
C,-0.642,-0.11,3.978
C,0.792,2.203,2.096
C,-1.92,-0.672,1.989
C,-0.411,-0.139,2.476
C,2.297,2.785,3.913
C,-1.89,1.459,-0.91
C,-1.296,2.245,1.085
C,2.037,1.693,3.736
C,1.852,2.361,5.006
C,-0.413,-0.547,0.047
C,0.563,4.386,5.012
C,2.182,1.708,3.818
C,-0.629,0.417,1.842
C,-1.648,-0.231,-0.64
C,-0.675,0.695,2.517
C,1.429,2.682,2.867
C,-2.721,-0.814,-1.004
C,-0.184,-0.48,2.037
C,2.102,2.249,2.996
C,0.539,0.528,2.012
C,3.506,1.23,2.191
C,-0.281,-1.703,1.221
C,0.774,1.303,4.359
C,1.458,0.429,2.108
C,-1.417,0.219,1.823
C,-2.145,1.327,0.621
C,-0.422,0.326,1.957
C,-1.974,-0.71,-1.092
C,-1.253,3.212,0.73
C,3.106,2.808,4.701
C,-3.714,-0.303,0.589
C,-1.433,-0.215,1.761
C,0.857,2.174,1.138
C,-0.847,0.526,2.217
C,-1.769,-0.773,-1.413
C,-0.425,-0.682,0.198
C,-2.823,-1.925,-0.701
C,-2.107,-1.405,1.901
C,0.557,1.517,2.933
C,-0.542,4.049,2.042
C,1.246,1.367,3.727
C,1.95,0.947,2.802
C,0.536,1.127,0.923
C,-0.884,-0.303,0.47
C,2.757,1.401,1.213
C,1.157,-0.376,0.816
C,2.557,4.254,6.506
C,-0.276,2.884,4.1
C,1.102,0.895,1.008
C,3.24,1.352,1.042
C,-3.392,-2.009,1.42
C,2.651,2.825,4.778
C,-2.512,-3.104,-0.371
C,-2.611,-0.033,-0.054
C,0.779,1.729,1.547
C,-2.094,-0.106,2.393
C,-2.444,-2.621,0.628
C,-1.006,1.744,4.448
C,0.399,-1.038,-0.535
C,-0.332,0.407,1.461
C,1.784,1.738,2.816
C,-2.096,-1.517,-0.932
C,2.023,3.065,3.646
C,-2.117,-0.921,-1.605
C,-3.234,-1.482,0.603
C,-1.388,0.703,0.357
C,-0.018,0.467,2.95
C,1.366,0.294,0.941
C,-0.803,0.907,1.349
C,-0.857,-0.498,2.511
C,0.197,0.17,1.458
C,2.07,3.133,3.364
C,0.13,1.564,0.461
C,0.806,1.187,3.077
C,1.664,-0.436,1.996
C,1.347,2.835,2.724
C,0.508,1.453,1.628
C,0.352,2.312,3.446
C,-1.461,-1.408,1.599
C,0.327,2.212,3.413
C,0.593,0.979,2.252
C,-0.032,1.645,1.91
